"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",93,0,0,1,"Yes",100
"cr.1",93,0,0,3,"Yes",93.5
"cr.1.1",91,2,2.2,8,"Figshare",69.2
"cr.4",80,13,14,4,"Yes",65
"cr.a.1",91,2,2.2,3,"Yes",93.4
"cr.a.2",92,1,1.1,2,"Yes",96.7
"cr.f.1",92,1,1.1,2,"Yes",96.7
"cr.f.2",92,1,1.1,2,"Yes",60.9
"cr.i.1",91,2,2.2,3,"Yes",90.1
"cr.i.2",91,2,2.2,2,"Yes",63.7
"cr.i.3",91,2,2.2,3,"No",64.8
"cr.i.4",92,1,1.1,3,"No",96.7
"cr.r.1",92,1,1.1,3,"Yes",88
"cr.r.1.1",92,1,1.1,8,"CC BY 4.0",72.8
"cr.r.2",91,2,2.2,3,"Yes",91.2
"cr.r.3",89,4,4.3,3,"Unclear",59.6
"d_filter",93,0,0,2,"Yes",97.8
"d_synth",93,0,0,2,"Yes",86
"dr.1",91,2,2.2,3,"Yes",94.5
"dr.1.2",5,88,94.6,3,"Other, please specify",40
"dr.2",91,2,2.2,2,"Yes",78
"dr.a.1",71,22,23.7,2,"Yes",98.6
"dr.a.2",79,14,15.1,3,"No",78.5
"dr.f.1",89,4,4.3,2,"Yes",96.6
"dr.f.2",89,4,4.3,3,"Yes",53.9
"dr.f.3",70,23,24.7,3,"Yes",74.3
"dr.i.1",70,23,24.7,2,"Yes",95.7
"dr.i.2",70,23,24.7,3,"Yes",72.9
"dr.r.1",89,4,4.3,3,"No",70.8
"dr.r.2",88,5,5.4,3,"Yes",79.5
"dr.r.3",88,5,5.4,3,"No",85.2
"id",93,0,0,93,"39",1.1
"pre.post",93,0,0,1,"post-policy",100
"reproducibility_rating",93,0,0,5,"4",52.7
"year_after_policy",93,0,0,1,"4",100
