"Variable","Response","Count","Percent_of_Valid","Percent_of_Total","N_Valid","N_Missing","Percent_Missing"
"id","133",1,1,1,98,0,0
"id","134",1,1,1,98,0,0
"id","135",1,1,1,98,0,0
"id","136",1,1,1,98,0,0
"id","137",1,1,1,98,0,0
"id","138",1,1,1,98,0,0
"id","139",1,1,1,98,0,0
"id","140",1,1,1,98,0,0
"id","141",1,1,1,98,0,0
"id","142",1,1,1,98,0,0
"id","143",1,1,1,98,0,0
"id","144",1,1,1,98,0,0
"id","145",1,1,1,98,0,0
"id","146",1,1,1,98,0,0
"id","147",1,1,1,98,0,0
"id","148",1,1,1,98,0,0
"id","149",1,1,1,98,0,0
"id","150",1,1,1,98,0,0
"id","151",1,1,1,98,0,0
"id","152",1,1,1,98,0,0
"id","153",1,1,1,98,0,0
"id","154",1,1,1,98,0,0
"id","155",1,1,1,98,0,0
"id","156",1,1,1,98,0,0
"id","157",1,1,1,98,0,0
"id","158",1,1,1,98,0,0
"id","159",1,1,1,98,0,0
"id","160",1,1,1,98,0,0
"id","161",1,1,1,98,0,0
"id","162",1,1,1,98,0,0
"id","163",1,1,1,98,0,0
"id","164",1,1,1,98,0,0
"id","165",1,1,1,98,0,0
"id","166",1,1,1,98,0,0
"id","167",1,1,1,98,0,0
"id","168",1,1,1,98,0,0
"id","169",1,1,1,98,0,0
"id","170",1,1,1,98,0,0
"id","171",1,1,1,98,0,0
"id","172",1,1,1,98,0,0
"id","173",1,1,1,98,0,0
"id","174",1,1,1,98,0,0
"id","175",1,1,1,98,0,0
"id","176",1,1,1,98,0,0
"id","177",1,1,1,98,0,0
"id","178",1,1,1,98,0,0
"id","179",1,1,1,98,0,0
"id","180",1,1,1,98,0,0
"id","181",1,1,1,98,0,0
"id","182",1,1,1,98,0,0
"id","183",1,1,1,98,0,0
"id","184",1,1,1,98,0,0
"id","185",1,1,1,98,0,0
"id","186",1,1,1,98,0,0
"id","187",1,1,1,98,0,0
"id","188",1,1,1,98,0,0
"id","189",1,1,1,98,0,0
"id","190",1,1,1,98,0,0
"id","191",1,1,1,98,0,0
"id","192",1,1,1,98,0,0
"id","193",1,1,1,98,0,0
"id","194",1,1,1,98,0,0
"id","195",1,1,1,98,0,0
"id","196",1,1,1,98,0,0
"id","197",1,1,1,98,0,0
"id","198",1,1,1,98,0,0
"id","199",1,1,1,98,0,0
"id","200",1,1,1,98,0,0
"id","201",1,1,1,98,0,0
"id","203",1,1,1,98,0,0
"id","204",1,1,1,98,0,0
"id","205",1,1,1,98,0,0
"id","206",1,1,1,98,0,0
"id","207",1,1,1,98,0,0
"id","208",1,1,1,98,0,0
"id","210",1,1,1,98,0,0
"id","211",2,2,2,98,0,0
"id","212",1,1,1,98,0,0
"id","214",1,1,1,98,0,0
"id","215",1,1,1,98,0,0
"id","216",1,1,1,98,0,0
"id","217",1,1,1,98,0,0
"id","218",1,1,1,98,0,0
"id","219",1,1,1,98,0,0
"id","220",1,1,1,98,0,0
"id","221",1,1,1,98,0,0
"id","222",1,1,1,98,0,0
"id","223",1,1,1,98,0,0
"id","224",1,1,1,98,0,0
"id","226",1,1,1,98,0,0
"id","227",1,1,1,98,0,0
"id","228",1,1,1,98,0,0
"id","229",1,1,1,98,0,0
"id","230",1,1,1,98,0,0
"id","231",1,1,1,98,0,0
"id","232",1,1,1,98,0,0
"id","233",1,1,1,98,0,0
"d_filter","Yes",98,100,100,98,0,0
"d_synth","No",6,6.1,6.1,98,0,0
"d_synth","Yes",92,93.9,93.9,98,0,0
"c_filter","No",1,1,1,98,0,0
"c_filter","Yes",97,99,99,98,0,0
"cr.1","No",3,3.1,3.1,97,1,1
"cr.1","Partial, some code cannot be accessed",5,5.2,5.1,97,1,1
"cr.1","Yes",89,91.8,90.8,97,1,1
"cr.1","Missing/NA",1,NA,1,97,1,1
"cr.1.1","Figshare",71,75.5,72.4,94,4,4.1
"cr.1.1","Figshare and GitHub",1,1.1,1,94,4,4.1
"cr.1.1","GitHub",11,11.7,11.2,94,4,4.1
"cr.1.1","Google Drive",1,1.1,1,94,4,4.1
"cr.1.1","Harvard Dataverse",1,1.1,1,94,4,4.1
"cr.1.1","Open Science Framework",2,2.1,2,94,4,4.1
"cr.1.1","Zenodo",7,7.4,7.1,94,4,4.1
"cr.1.1","Missing/NA",4,NA,4.1,94,4,4.1
"cr.4","No",5,5.5,5.1,91,7,7.1
"cr.4","Unclear, specify why",54,59.3,55.1,91,7,7.1
"cr.4","Yes",29,31.9,29.6,91,7,7.1
"cr.4","Yes,Unclear, specify why",3,3.3,3.1,91,7,7.1
"cr.4","Missing/NA",7,NA,7.1,91,7,7.1
"cr.f.1","Unclear",1,1.1,1,94,4,4.1
"cr.f.1","Yes",93,98.9,94.9,94,4,4.1
"cr.f.1","Missing/NA",4,NA,4.1,94,4,4.1
"cr.f.2","No",3,3.2,3.1,94,4,4.1
