"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",80,0,0,2,"Yes",97.5
"cr.1",78,2,2.5,3,"Yes",85.9
"cr.1.1",67,13,16.2,7,"Figshare",77.6
"cr.4",76,4,5,5,"Unclear, specify why",67.1
"cr.a.1",68,12,15,1,"Yes",100
"cr.a.2",68,12,15,2,"Yes",98.5
"cr.f.1",68,12,15,1,"Yes",100
"cr.f.2",68,12,15,1,"Yes",100
"cr.i.1",67,13,16.2,2,"Yes",97
"cr.i.2",67,13,16.2,3,"Yes",71.6
"cr.i.3",67,13,16.2,3,"No",55.2
"cr.i.4",67,13,16.2,1,"No",100
"cr.r.1",74,6,7.5,3,"Yes",89.2
"cr.r.1.1",78,2,2.5,7,"CC BY 4.0",62.8
"cr.r.2",68,12,15,2,"Yes",94.1
"cr.r.3",68,12,15,3,"Unclear",64.7
"d_filter",80,0,0,1,"Yes",100
"d_synth",80,0,0,2,"Yes",95
"dr.1",80,0,0,3,"Yes",86.2
"dr.1.2",11,69,86.2,3,"Other, please specify",63.6
"dr.2",80,0,0,2,"No",83.8
"dr.a.1",13,67,83.8,1,"Yes",100
"dr.a.2",64,16,20,3,"No",84.4
"dr.f.1",72,8,10,3,"Yes",94.4
"dr.f.2",72,8,10,3,"Yes",95.8
"dr.f.3",13,67,83.8,3,"Yes",53.8
"dr.i.1",13,67,83.8,2,"Yes",76.9
"dr.i.2",13,67,83.8,3,"No",53.8
"dr.r.1",71,9,11.2,3,"No",71.8
"dr.r.2",71,9,11.2,3,"Yes",90.1
"dr.r.3",72,8,10,3,"No",91.7
"id",80,0,0,80,"234",1.2
"pre.post",80,0,0,1,"post-policy",100
"reproducibility_rating",80,0,0,5,"1",66.2
"year_after_policy",80,0,0,1,"2",100
