"Variable","Response","Count","Percent_of_Valid","Percent_of_Total","N_Valid","N_Missing","Percent_Missing"
"id","323",1,2.5,2.5,40,0,0
"id","326",1,2.5,2.5,40,0,0
"id","328",1,2.5,2.5,40,0,0
"id","329",1,2.5,2.5,40,0,0
"id","330",1,2.5,2.5,40,0,0
"id","331",1,2.5,2.5,40,0,0
"id","332",1,2.5,2.5,40,0,0
"id","335",1,2.5,2.5,40,0,0
"id","336",1,2.5,2.5,40,0,0
"id","337",1,2.5,2.5,40,0,0
"id","340",1,2.5,2.5,40,0,0
"id","341",1,2.5,2.5,40,0,0
"id","343",1,2.5,2.5,40,0,0
"id","347",1,2.5,2.5,40,0,0
"id","350",1,2.5,2.5,40,0,0
"id","351",1,2.5,2.5,40,0,0
"id","352",1,2.5,2.5,40,0,0
"id","356",1,2.5,2.5,40,0,0
"id","358",1,2.5,2.5,40,0,0
"id","359",1,2.5,2.5,40,0,0
"id","360",1,2.5,2.5,40,0,0
"id","361",1,2.5,2.5,40,0,0
"id","362",1,2.5,2.5,40,0,0
"id","364",1,2.5,2.5,40,0,0
"id","365",1,2.5,2.5,40,0,0
"id","366",1,2.5,2.5,40,0,0
"id","367",1,2.5,2.5,40,0,0
"id","368",1,2.5,2.5,40,0,0
"id","369",1,2.5,2.5,40,0,0
"id","371",1,2.5,2.5,40,0,0
"id","372",1,2.5,2.5,40,0,0
"id","374",1,2.5,2.5,40,0,0
"id","376",1,2.5,2.5,40,0,0
"id","379",1,2.5,2.5,40,0,0
"id","388",1,2.5,2.5,40,0,0
"id","392",1,2.5,2.5,40,0,0
"id","398",1,2.5,2.5,40,0,0
"id","400",1,2.5,2.5,40,0,0
"id","402",1,2.5,2.5,40,0,0
"id","403",1,2.5,2.5,40,0,0
"d_filter","Yes",40,100,100,40,0,0
"d_synth","No",19,47.5,47.5,40,0,0
"d_synth","Yes",21,52.5,52.5,40,0,0
"c_filter","Yes",40,100,100,40,0,0
"cr.1","No",4,10,10,40,0,0
"cr.1","Partial, some code cannot be accessed",1,2.5,2.5,40,0,0
"cr.1","Yes",35,87.5,87.5,40,0,0
"cr.1.1","Figshare",33,91.7,82.5,36,4,10
