"Variable","Response","Count","Percent_of_Valid","Percent_of_Total","N_Valid","N_Missing","Percent_Missing"
"d_filter","No",2,0.6,0.6,351,0,0
"d_filter","Yes",349,99.4,99.4,351,0,0
"d_synth","No",40,11.4,11.4,351,0,0
"d_synth","Yes",311,88.6,88.6,351,0,0
"c_filter","No",3,0.9,0.9,351,0,0
"c_filter","Yes",348,99.1,99.1,351,0,0
"cr.1","No",21,6,6,348,3,0.9
"cr.1","Partial, some code cannot be accessed",15,4.3,4.3,348,3,0.9
"cr.1","Yes",312,89.7,88.9,348,3,0.9
"cr.1","Missing/NA",3,NA,0.9,348,3,0.9
"cr.1.1","Archive",1,0.3,0.3,323,28,8
"cr.1.1","Comses",1,0.3,0.3,323,28,8
"cr.1.1","Datadryad.org",1,0.3,0.3,323,28,8
"cr.1.1","Figshare",249,77.1,70.9,323,28,8
"cr.1.1","Figshare and GitHub",4,1.2,1.1,323,28,8
"cr.1.1","Gifshare",2,0.6,0.6,323,28,8
"cr.1.1","GitHub",44,13.6,12.5,323,28,8
"cr.1.1","Google Drive",1,0.3,0.3,323,28,8
"cr.1.1","Harvard Dataverse",1,0.3,0.3,323,28,8
"cr.1.1","Open Science Framework",2,0.6,0.6,323,28,8
"cr.1.1","ordo.open.ac.uk",1,0.3,0.3,323,28,8
"cr.1.1","Science data bank",1,0.3,0.3,323,28,8
"cr.1.1","Science web",1,0.3,0.3,323,28,8
"cr.1.1","Zenodo",14,4.3,4,323,28,8
"cr.1.1","Missing/NA",28,NA,8,323,28,8
"cr.4","No",26,8.4,7.4,309,42,12
"cr.4","No,Unclear, specify why",2,0.6,0.6,309,42,12
"cr.4","Unclear, specify why",150,48.5,42.7,309,42,12
"cr.4","Yes",126,40.8,35.9,309,42,12
"cr.4","Yes,Unclear, specify why",5,1.6,1.4,309,42,12
"cr.4","Missing/NA",42,NA,12,309,42,12
"cr.f.1","No",11,3.4,3.1,327,24,6.8
"cr.f.1","Unclear",3,0.9,0.9,327,24,6.8
"cr.f.1","Yes",313,95.7,89.2,327,24,6.8
"cr.f.1","Missing/NA",24,NA,6.8,327,24,6.8
"cr.f.2","No",53,16.2,15.1,327,24,6.8
"cr.f.2","Unclear",4,1.2,1.1,327,24,6.8
"cr.f.2","Yes",270,82.6,76.9,327,24,6.8
