"Variable","Response","Count","Percent_of_Valid","Percent_of_Total","N_Valid","N_Missing","Percent_Missing"
"id","39",1,1.1,1.1,93,0,0
"id","40",1,1.1,1.1,93,0,0
"id","41",1,1.1,1.1,93,0,0
"id","42",1,1.1,1.1,93,0,0
"id","43",1,1.1,1.1,93,0,0
"id","44",1,1.1,1.1,93,0,0
"id","45",1,1.1,1.1,93,0,0
"id","46",1,1.1,1.1,93,0,0
"id","47",1,1.1,1.1,93,0,0
"id","48",1,1.1,1.1,93,0,0
"id","49",1,1.1,1.1,93,0,0
"id","50",1,1.1,1.1,93,0,0
"id","51",1,1.1,1.1,93,0,0
"id","52",1,1.1,1.1,93,0,0
"id","53",1,1.1,1.1,93,0,0
"id","54",1,1.1,1.1,93,0,0
"id","55",1,1.1,1.1,93,0,0
"id","56",1,1.1,1.1,93,0,0
"id","57",1,1.1,1.1,93,0,0
"id","58",1,1.1,1.1,93,0,0
"id","59",1,1.1,1.1,93,0,0
"id","60",1,1.1,1.1,93,0,0
"id","61",1,1.1,1.1,93,0,0
"id","62",1,1.1,1.1,93,0,0
"id","63",1,1.1,1.1,93,0,0
"id","64",1,1.1,1.1,93,0,0
"id","65",1,1.1,1.1,93,0,0
"id","66",1,1.1,1.1,93,0,0
"id","67",1,1.1,1.1,93,0,0
"id","68",1,1.1,1.1,93,0,0
"id","69",1,1.1,1.1,93,0,0
"id","70",1,1.1,1.1,93,0,0
"id","71",1,1.1,1.1,93,0,0
"id","72",1,1.1,1.1,93,0,0
"id","73",1,1.1,1.1,93,0,0
"id","74",1,1.1,1.1,93,0,0
"id","75",1,1.1,1.1,93,0,0
"id","76",1,1.1,1.1,93,0,0
"id","77",1,1.1,1.1,93,0,0
"id","78",1,1.1,1.1,93,0,0
"id","79",1,1.1,1.1,93,0,0
"id","80",1,1.1,1.1,93,0,0
"id","81",1,1.1,1.1,93,0,0
"id","82",1,1.1,1.1,93,0,0
"id","83",1,1.1,1.1,93,0,0
"id","84",1,1.1,1.1,93,0,0
"id","85",1,1.1,1.1,93,0,0
"id","86",1,1.1,1.1,93,0,0
"id","87",1,1.1,1.1,93,0,0
"id","88",1,1.1,1.1,93,0,0
"id","89",1,1.1,1.1,93,0,0
"id","90",1,1.1,1.1,93,0,0
"id","91",1,1.1,1.1,93,0,0
"id","92",1,1.1,1.1,93,0,0
"id","93",1,1.1,1.1,93,0,0
"id","94",1,1.1,1.1,93,0,0
"id","95",1,1.1,1.1,93,0,0
"id","96",1,1.1,1.1,93,0,0
"id","97",1,1.1,1.1,93,0,0
"id","98",1,1.1,1.1,93,0,0
"id","99",1,1.1,1.1,93,0,0
